MonthsActive,AvgOrderValue,NumOrdersLastQuarter,Region,NextMonthSpend
29,56.23,8,North,146.26
48,68.28,9,North,178.84
12,49.71,10,East,127.55
28,49.36,12,South,137.05
8,27.43,4,South,59.33
42,67.75,7,East,143.26
29,41.33,6,East,103.09
20,73.62,4,East,137.69
14,92.44,2,West,104.95
34,50.64,7,East,133.47
41,36.26,6,East,108.55
57,54.23,5,South,115.98
27,62.77,5,West,97.83
10,48.12,7,North,89.88
50,43.57,5,West,94.45
38,68.4,5,East,118.49
43,66.62,6,South,129.12
6,47.54,4,North,102.02
19,28.17,8,South,91.45
47,65.53,3,South,96.0
50,40.17,5,East,100.43
27,59.49,8,East,111.27
49,58.0,9,North,145.1
51,25.65,7,West,87.55
24,56.4,4,West,104.3
54,67.08,4,North,117.27
18,70.45,9,West,135.24
15,57.22,6,South,118.38
41,24.76,6,South,91.18
39,91.0,3,East,143.23
9,64.35,7,West,99.78
50,33.74,3,South,71.06
12,39.84,3,South,75.95
49,59.89,3,South,89.22
1,71.66,6,North,121.53
48,44.92,4,East,110.0
48,75.96,8,West,141.83
47,26.65,9,North,129.22
40,35.98,3,South,98.25
29,23.91,4,South,69.51
43,38.13,8,West,124.27
17,99.81,2,East,126.2
47,124.35,7,East,170.45
34,59.97,3,West,98.59
28,42.29,3,North,94.61
31,49.97,4,North,95.68
35,65.98,4,South,104.29
3,29.22,6,East,69.95
9,43.42,7,South,105.22
15,96.93,5,East,164.28
7,35.94,5,North,96.52
27,40.46,6,North,121.18
41,54.89,5,North,113.73
40,61.15,6,West,106.9
29,42.52,8,East,125.52
52,56.31,5,East,119.99
34,69.63,4,East,134.25
5,119.65,2,North,143.93
46,51.91,7,North,125.02
35,53.7,2,West,111.87
39,100.58,4,East,158.95
34,43.83,6,West,108.68
34,32.15,3,East,66.33
6,60.35,5,West,96.62
34,83.97,4,South,142.63
48,63.08,2,North,121.83
19,52.52,5,South,113.32
37,30.59,4,South,77.37
2,53.34,1,South,53.34
21,89.41,2,South,112.62
27,33.33,3,East,86.86
59,49.51,4,North,106.92
13,46.76,3,East,95.54
17,41.3,6,South,98.2
25,60.29,1,South,88.14
60,65.19,5,East,121.63
52,64.92,9,West,116.59
3,36.94,3,West,44.36
15,28.26,8,East,114.22
50,60.64,5,East,115.75
4,44.6,4,East,76.82
52,113.9,2,North,143.05
17,116.02,2,East,151.0
56,121.06,11,North,195.34
18,37.49,5,South,93.32
27,68.56,2,West,71.39
40,77.35,7,North,155.19
8,73.95,5,South,123.42
34,47.38,3,North,100.84
31,91.07,5,North,154.86
48,54.61,5,North,136.84
60,57.47,7,East,109.18
40,29.51,4,North,91.23
25,70.66,6,East,124.91
25,49.2,7,South,112.97
26,65.75,3,North,119.64
49,59.98,7,East,141.3
20,58.7,7,North,117.99
11,53.61,3,West,84.82
21,74.79,4,East,142.46
2,50.42,4,South,73.9
7,30.51,4,North,84.56
6,68.55,7,West,101.9
47,39.5,4,West,104.98
44,32.15,10,South,94.8
42,36.27,7,East,106.3
28,61.15,4,East,112.65
44,52.53,4,South,76.32
10,23.26,5,South,51.2
55,46.83,8,North,125.33
31,87.16,3,West,115.44
57,45.58,6,North,122.24
10,51.1,3,East,58.51
30,82.86,5,South,142.15
42,75.05,8,South,139.58
30,82.16,7,North,161.4
27,18.01,6,North,92.17
10,109.22,6,East,146.41
23,70.43,4,West,119.26
15,146.14,4,West,186.9
19,39.93,4,South,100.77
42,26.97,2,North,85.42
38,54.76,6,South,100.32
37,48.9,8,South,115.64
22,70.91,4,West,100.07
58,83.93,7,North,155.49
6,52.72,4,South,69.51
21,49.59,5,West,112.74
8,67.3,9,North,145.65
21,49.28,4,North,100.8
58,47.66,8,South,126.32
22,82.67,4,East,125.31
55,90.37,6,North,161.16
30,84.23,7,East,140.78
42,51.05,9,East,121.89
28,23.2,8,North,124.64
16,51.46,7,East,123.12
46,40.32,4,North,119.35
59,51.84,6,West,102.51
16,41.74,7,East,106.18
47,54.15,5,West,108.53
16,36.03,2,North,74.44
44,32.71,4,North,82.2
48,89.04,5,East,149.53
27,37.05,4,North,95.22
45,54.61,8,East,128.08
17,79.98,4,North,151.54
5,78.71,6,South,113.68
6,75.03,5,East,120.89
27,61.63,3,East,106.38
55,72.94,3,East,118.67
8,94.56,3,East,103.77
28,64.72,4,North,132.03
43,26.18,5,West,96.39
13,44.19,5,South,105.96
44,72.14,6,North,142.66
19,42.49,3,North,119.11
49,104.38,3,South,154.92
35,53.24,5,East,110.1
33,56.49,4,North,137.75
11,85.62,3,North,127.0
28,50.75,3,North,113.01
52,58.59,7,North,156.16
2,78.23,4,West,94.28
46,30.3,6,West,85.9
30,48.71,5,South,83.36
44,76.07,7,East,137.33
40,56.05,5,North,130.74
26,98.19,3,North,150.34
19,29.07,2,North,85.69
38,27.77,3,North,63.43
9,74.28,5,North,133.02
36,77.19,6,North,139.41
6,50.54,3,South,88.57
39,64.08,5,West,99.81
38,73.56,7,North,163.1
6,39.43,6,East,73.88
46,41.15,4,East,98.75
25,58.9,4,North,120.99
48,78.39,5,West,127.02
3,34.25,5,East,75.3
11,50.44,2,South,85.33
30,49.52,5,West,101.69
12,64.53,6,South,115.27
20,54.41,2,South,87.54
40,43.89,4,West,74.14
9,89.97,2,North,128.26
41,44.0,6,West,89.11
7,48.58,8,North,133.91
11,28.89,5,North,85.89
36,41.04,5,East,99.88
48,67.12,5,North,145.42
11,62.07,7,East,115.45
18,69.39,2,North,108.2
56,68.06,5,North,135.25
60,125.85,10,South,214.56
35,40.48,5,West,100.41
27,28.57,4,North,99.1
21,35.87,5,North,85.8
37,41.2,4,South,101.78
36,36.98,10,South,111.14
18,56.68,2,South,88.79
2,90.11,4,North,149.93
10,101.08,5,West,125.49
58,66.8,4,North,138.82
26,128.57,6,West,173.51
29,47.34,5,West,78.27
29,28.42,5,North,109.81
47,83.2,5,East,135.95
4,26.17,3,West,43.09
5,40.37,2,West,67.9
17,67.22,5,East,123.19
30,52.41,3,South,86.03
41,50.58,6,East,98.64
30,34.05,3,East,80.87
27,54.36,6,West,104.96
57,81.57,7,North,159.86
10,55.04,7,West,108.78
35,39.17,2,South,87.92
33,33.15,6,South,106.77
29,39.49,5,West,127.27
49,63.88,4,South,115.28
17,62.64,8,East,121.38
58,39.64,7,North,123.81
20,22.55,5,South,71.12
33,64.59,2,North,101.61
32,38.13,10,East,123.67
51,71.93,4,North,159.37
27,40.35,5,South,92.15
18,36.78,2,East,90.81
2,58.05,3,South,94.42
22,140.2,7,East,204.58
50,73.67,6,East,149.01
1,57.66,5,North,113.32
54,63.03,8,North,133.92
33,27.1,4,East,89.07
9,34.85,5,South,79.6
19,20.0,7,East,70.37
34,109.07,4,West,148.14
19,100.58,6,East,156.32
7,63.89,5,East,110.95
40,57.63,4,South,136.88
41,29.35,8,West,118.72
8,50.01,4,North,103.02
17,111.83,3,West,149.5
15,57.54,5,West,93.87
40,43.56,8,South,108.53
44,27.03,2,North,89.92
44,94.83,4,North,149.62
57,53.09,3,West,94.15
47,27.04,2,South,57.63
20,37.72,5,South,90.85
7,32.75,4,East,82.33
37,51.8,8,North,151.95
55,59.32,4,East,105.06
59,44.64,7,East,137.34
14,74.5,4,North,131.71
15,56.35,6,East,114.5
3,83.51,3,South,109.47
9,47.33,3,South,79.6
34,184.59,6,North,250.08
33,43.56,4,West,92.14
23,38.04,4,East,92.51
19,36.22,7,East,122.41
50,50.18,9,West,123.91
28,27.45,3,West,49.28
49,61.43,7,West,142.23
58,25.48,4,North,95.69
20,58.25,7,North,119.04
13,31.8,5,North,82.92
58,46.87,5,North,113.95
39,69.53,6,South,133.22
18,137.22,6,East,151.59
38,35.47,4,North,69.05
31,51.41,5,West,101.56
55,40.87,6,West,113.38
16,38.55,6,North,124.67
60,41.02,2,North,81.18
57,75.92,6,South,140.54
11,44.92,4,North,105.05
10,134.25,5,West,166.56
32,64.48,4,North,140.88
3,36.45,7,West,73.06
18,47.15,3,North,104.43
27,39.62,4,South,112.26
59,75.19,3,North,125.91
60,28.35,3,North,82.1
10,31.93,4,East,84.89
54,43.09,4,North,111.49
6,71.75,4,East,86.57
45,89.41,4,East,151.29
51,94.84,5,East,135.01
54,67.49,8,East,152.93
14,52.82,3,North,100.33
54,75.03,2,West,103.41
7,34.54,12,East,124.69
32,26.11,4,South,66.38
29,65.02,5,East,137.39
19,36.52,3,East,82.49
2,53.19,2,South,67.6
47,57.27,4,South,124.84
21,60.29,2,North,107.16
40,79.45,6,North,141.52
25,76.16,7,East,154.9
23,59.03,5,South,104.71
54,45.75,3,West,103.67
6,57.0,4,North,101.38
45,43.01,4,South,85.54
45,50.47,9,South,119.31
23,155.6,3,South,186.68
16,58.73,2,East,88.05
1,65.37,5,South,97.56
57,41.17,7,South,91.65
57,82.11,6,East,148.11
15,74.0,5,South,125.8
2,74.21,2,North,116.88
8,59.5,4,West,81.98
5,82.57,2,West,99.75
50,90.8,4,East,151.73
54,61.14,4,South,112.84
10,52.15,6,North,108.22
45,78.09,8,East,162.23
11,38.03,6,West,100.31
23,40.97,8,South,115.0
36,53.45,9,North,150.72
44,27.21,4,North,80.06
53,76.02,2,North,119.01
3,37.15,5,West,82.29
12,45.21,5,South,90.56
17,50.13,6,West,89.17
19,55.46,2,East,108.92
60,47.59,2,East,101.65
47,53.15,3,North,106.63
20,53.31,3,East,128.06
59,45.66,9,North,133.51
30,40.07,6,North,97.13
31,84.15,4,North,142.13
27,23.53,7,East,78.98
9,50.29,2,East,85.6
57,45.26,8,West,129.97
1,64.55,4,West,78.51
11,30.52,5,North,86.29
14,44.71,12,East,132.37
17,52.41,6,West,97.48
8,83.77,9,North,159.3
2,62.36,2,North,86.68
41,34.01,2,East,84.31
59,44.93,4,West,75.83
8,77.82,3,East,112.62
18,33.77,6,East,105.81
31,52.91,5,South,95.04
56,54.4,6,North,110.11
42,46.79,5,North,101.27
46,160.5,4,South,192.76
35,46.29,4,South,79.79
26,65.36,5,North,151.1
12,40.18,6,West,86.46
52,67.43,2,North,108.48
49,77.35,7,South,131.54
2,43.16,3,East,83.38
43,53.42,2,North,117.35
6,38.16,8,South,91.8
45,34.54,7,South,104.87
50,82.66,6,South,145.61
8,43.75,3,East,84.28
27,20.79,5,South,86.0
8,110.62,4,West,147.69
35,39.61,9,East,131.43
56,49.47,2,North,94.79
5,105.25,6,North,155.99
24,51.59,4,South,81.67
59,51.15,5,East,112.53
19,33.41,6,North,107.71
8,28.39,8,East,89.25
30,51.08,5,North,123.75
31,63.13,4,South,104.82
40,61.7,4,East,103.74
19,45.04,2,South,92.54
58,55.04,6,North,123.2
32,26.18,6,South,87.68
18,65.63,8,North,154.48
58,58.24,6,North,120.45
56,120.24,5,North,184.63
30,54.76,4,West,86.46
2,37.45,8,North,115.57
36,53.5,5,South,133.35
34,47.89,6,West,115.1
9,64.97,2,East,107.77
39,55.19,6,East,126.46
51,32.98,7,West,116.75
7,28.38,7,South,58.85
44,60.65,7,South,129.75
9,94.94,3,North,147.32
45,56.36,6,North,127.73
26,75.59,6,West,136.14
1,81.87,5,North,122.91
58,60.75,9,West,149.98
10,39.42,1,South,59.62
36,59.03,4,East,108.53
11,88.48,7,South,132.4
56,67.49,6,North,142.1
45,73.65,4,East,142.85
49,45.38,4,West,103.18
26,50.35,3,North,97.71
29,52.07,5,East,112.67
39,53.49,8,South,131.37
48,87.11,6,East,146.47
51,21.35,7,East,98.12
2,55.27,3,East,99.03
40,52.89,5,East,110.83
7,31.54,5,North,94.84
18,71.43,8,North,165.0
50,40.86,2,East,92.28
16,47.33,6,North,118.69
48,114.38,7,West,186.74
28,81.78,4,North,133.51
14,68.7,3,South,81.65
21,63.58,4,East,117.48
32,51.12,5,East,133.47
46,121.48,5,East,200.09
37,75.25,3,South,104.82
56,40.45,6,South,95.42
53,31.19,9,North,106.22
46,68.49,7,South,134.83
37,53.39,7,North,143.16
18,30.83,8,South,89.14
25,64.81,8,East,135.82
8,49.03,6,East,118.17
23,67.51,5,West,138.02
56,65.15,4,West,117.44
26,42.81,6,North,112.73
7,70.33,2,East,117.45
40,44.74,4,South,100.27
58,45.92,1,North,87.39
53,44.13,2,East,79.0
17,85.83,4,North,112.9
28,48.8,6,North,145.18
32,94.54,6,West,176.69
15,111.43,2,North,149.23
17,40.63,3,East,91.09
15,16.97,4,West,55.8
60,82.91,4,West,125.59
45,47.62,5,South,89.33
51,38.61,7,West,106.65
49,43.14,9,East,150.1
58,46.25,5,South,100.66
7,91.73,5,East,129.41
53,58.2,4,South,119.03
4,91.24,2,East,104.47
29,66.53,5,South,115.82
36,48.25,2,South,80.66
22,46.71,5,West,88.87
9,68.35,6,West,99.45
12,75.81,3,West,110.79
50,81.35,3,West,133.71
20,49.17,9,South,134.61
19,58.56,5,East,137.93
56,68.97,7,North,158.71
9,46.82,3,North,93.63
55,34.68,5,East,93.15
56,39.55,4,North,105.58
36,49.58,3,North,118.79
10,71.16,3,North,118.93
10,90.34,7,West,151.27
18,31.74,5,South,74.13
35,42.99,4,North,104.28
10,47.32,4,West,85.34
28,75.03,6,North,137.11
7,44.2,6,West,92.19
33,45.98,6,East,85.66
2,31.04,3,North,81.34
43,66.25,4,South,107.04
4,51.18,4,East,85.62
12,42.03,4,North,88.57
11,49.21,4,South,87.28
50,85.7,5,North,141.13
4,36.53,6,North,86.65
26,38.99,1,West,69.72
36,90.1,3,North,111.2
31,56.28,4,South,98.84
41,71.37,3,South,119.87
49,64.12,4,East,107.76
24,53.83,6,West,120.55
50,47.5,5,North,100.69
20,76.14,2,North,107.68
60,86.92,4,East,115.26
31,84.24,4,East,114.5
45,33.98,9,South,101.6
53,92.02,7,East,166.09
48,47.31,5,East,92.34
52,40.37,5,North,106.13
33,51.02,7,East,104.76
3,76.13,6,North,134.84
30,67.77,5,West,104.28
11,49.3,6,North,127.93
54,76.33,3,North,133.81
15,57.74,6,East,95.05
14,43.42,1,South,40.42
15,41.13,7,West,94.59
39,64.33,5,West,99.14
35,52.83,5,South,109.05
57,31.49,6,South,96.36
25,76.62,5,East,139.13
17,45.06,5,North,119.36
3,103.22,9,East,158.73
1,31.15,6,East,92.23
23,50.79,4,South,81.08
56,41.26,9,West,124.02
32,36.96,7,East,105.61
54,44.94,4,East,114.0
7,110.86,4,East,164.42
6,57.82,3,South,98.77
51,39.78,7,East,125.93
7,26.27,3,North,72.27
4,27.42,2,South,16.04
25,44.05,5,North,128.71
56,42.37,6,North,119.75
42,49.92,4,East,113.93
6,22.0,3,West,44.48
51,52.63,4,South,107.87
51,82.36,7,West,155.19
49,104.49,2,West,121.9
55,25.59,4,East,88.17
15,39.62,3,South,75.72
59,38.8,2,East,85.74
20,57.88,6,East,122.6
49,33.52,7,North,131.29
35,107.01,5,West,142.84
47,55.56,7,East,127.89
38,51.97,3,South,95.26
39,103.24,5,North,170.53
37,54.25,9,East,122.09
47,64.08,5,South,121.7
45,40.43,3,East,103.26
9,31.56,2,South,52.78
50,42.77,2,South,63.22
33,130.95,4,East,184.44
20,70.33,2,North,108.0
31,60.94,8,South,114.86
59,36.95,4,North,101.63
52,78.61,6,East,125.29
51,31.72,4,North,80.12
28,29.17,4,North,104.42
48,43.66,3,East,91.68
24,119.32,3,South,138.96
42,116.65,6,South,163.74
39,45.58,9,North,169.13
15,41.69,4,West,77.02
16,28.33,6,North,97.23
4,56.33,3,West,63.01
9,58.25,6,South,105.81
27,74.88,3,East,104.61
29,78.59,4,South,105.12
10,50.45,4,East,95.0
26,68.2,6,North,124.88
37,41.25,6,North,120.05
14,67.68,8,North,166.51
21,44.57,6,South,110.01
23,65.61,9,East,127.82
31,63.52,3,West,89.48
22,56.12,4,East,93.25
45,75.02,6,South,131.64
20,29.13,3,West,70.37
27,35.66,7,North,100.68
23,49.01,10,East,137.98
11,30.65,7,East,107.15
42,46.4,4,East,100.73
15,47.0,4,North,96.39
18,92.19,5,South,150.16
48,57.8,6,North,147.38
57,82.42,1,North,125.21
41,61.6,4,South,105.18
55,44.07,4,North,110.78
52,57.6,8,West,142.1
29,73.1,3,North,117.35
47,88.0,4,North,152.19
20,51.78,5,North,135.07
28,28.25,7,West,104.56
33,27.46,3,South,46.15
58,47.92,7,West,110.44
51,21.43,3,West,70.43
30,111.95,10,East,204.48
40,69.32,4,North,148.46
13,42.34,7,East,91.48
49,35.03,4,South,80.11
34,82.37,4,West,127.86
32,34.97,10,North,139.25
46,36.33,7,South,126.82
38,40.19,5,West,76.8
5,57.15,5,North,123.57
18,69.99,2,East,109.65
11,87.98,9,North,163.25
45,82.93,9,East,166.06
3,54.62,7,West,103.07
13,82.12,3,South,89.79
36,41.75,7,East,114.6
42,26.35,5,North,104.83
31,41.74,5,North,123.99
52,39.55,6,South,102.97
56,42.4,5,East,108.63
8,37.2,6,South,91.25
58,45.4,4,North,112.84
37,69.97,5,East,128.32
39,108.43,11,East,200.88
6,27.38,5,East,84.33
38,32.62,4,West,68.39
44,39.78,3,West,70.92
35,74.17,2,North,119.8
6,50.3,4,South,80.35
32,40.87,6,South,92.51
57,72.73,4,West,115.11
44,80.04,3,West,117.31
9,54.19,4,West,102.37
58,39.39,3,South,73.68
58,60.83,4,South,104.88
11,49.73,5,West,113.84
49,49.58,3,North,96.2
25,44.48,3,East,98.83
36,79.04,5,West,110.76
27,60.34,7,South,128.56
47,82.62,2,West,109.27
60,93.18,5,North,165.52
48,65.6,4,North,125.06
56,44.59,3,West,90.45
57,82.78,3,West,122.31
6,65.78,4,West,117.17
16,154.68,9,North,221.14
44,61.81,5,East,106.09
36,72.17,4,West,111.93
4,61.32,5,North,120.37
6,52.48,4,West,90.54
32,49.23,7,East,113.88
37,61.42,6,North,157.05
11,67.25,6,West,109.74
11,86.64,4,West,97.41
8,61.78,6,South,110.29
34,45.37,6,East,110.72
1,47.91,8,East,104.08
35,32.16,7,West,97.79
29,106.11,5,North,173.12
28,43.97,7,South,100.86
41,80.4,7,South,131.96
32,60.98,4,North,111.76
44,61.65,3,South,127.56
46,52.09,4,West,92.41
56,39.84,7,East,125.97
48,37.06,5,West,101.78
32,109.0,3,North,155.82
30,57.14,4,South,110.84
15,85.64,4,West,125.76
36,95.01,6,North,155.73
9,46.32,3,North,82.74
56,64.68,5,North,140.18
51,55.59,5,North,124.12
8,34.37,4,South,45.02
48,50.69,2,West,74.29
8,69.06,7,West,105.67
44,44.72,6,East,105.92
6,47.95,4,North,79.17
30,50.94,2,East,93.14
40,127.05,7,North,203.78
44,26.22,4,East,80.2
26,66.73,3,East,107.17
56,49.34,3,North,98.4
47,42.26,5,East,106.03
13,48.85,3,South,64.53
41,71.3,4,North,154.57
44,72.95,4,South,132.47
21,58.82,1,South,57.14
45,84.53,4,North,162.6
54,90.7,5,East,149.74
50,75.68,3,West,113.67
46,43.88,7,North,121.11
39,66.54,3,North,130.15
17,66.67,8,South,126.28
48,39.4,5,North,100.63
22,29.14,9,East,107.39
32,24.31,6,North,96.27
19,56.15,4,North,114.2
19,61.51,4,South,107.5
10,34.03,8,East,73.14
58,82.96,6,North,160.73
9,58.03,6,North,118.56
6,93.67,3,East,130.47
57,63.32,5,West,113.39
34,35.64,5,West,62.12
27,65.58,2,East,107.58
45,71.38,6,East,128.63
23,43.86,6,North,96.25
8,30.67,4,South,60.3
44,56.83,7,North,123.31
11,36.59,5,East,94.03
34,85.49,6,West,153.46
57,46.39,4,West,93.65
57,108.84,3,South,153.19
22,23.34,2,South,48.75
47,57.62,3,North,121.66
37,96.71,9,North,179.25
29,38.24,8,North,105.5
9,51.23,7,North,118.37
23,46.47,6,North,124.47
40,41.53,4,North,119.06
60,60.21,2,East,96.06
1,32.52,5,South,57.05
44,52.23,1,West,81.43
51,67.11,7,East,135.48
58,50.1,4,North,106.03
26,36.6,4,North,103.61
8,82.44,3,West,116.16
17,73.12,5,North,132.66
52,36.0,11,East,166.53
53,32.54,5,East,79.12
39,37.31,3,South,82.43
8,67.9,3,South,101.58
8,60.96,5,East,86.12
29,74.89,7,South,139.55
36,47.92,8,East,107.96
2,37.72,7,South,79.17
42,78.85,6,South,126.69
33,43.76,2,North,85.9
1,58.83,3,East,119.13
6,29.37,4,South,62.16
28,43.47,5,North,120.96
44,81.76,6,South,126.69
50,41.0,4,North,109.16
26,75.63,8,East,133.77
18,21.49,7,North,126.57
59,43.65,5,East,110.91
28,50.98,5,North,125.34
19,109.62,6,West,150.1
27,34.21,5,North,107.83
1,71.41,5,West,121.58
19,83.33,7,North,154.82
31,40.91,3,North,102.61
56,47.02,3,South,74.67
45,57.78,3,East,119.4
47,30.19,8,South,106.25
33,45.51,5,East,110.45
7,90.96,3,North,118.71
24,67.29,7,East,122.88
60,51.28,4,West,89.88
3,57.12,5,South,101.1
53,68.88,6,East,137.48
42,74.36,2,East,115.47
18,43.7,4,East,77.01
47,100.88,6,South,141.73
51,92.44,6,North,164.06
3,71.59,5,South,76.47
7,38.97,6,North,91.48
40,36.3,7,East,113.85
60,47.91,7,West,128.32
2,55.94,1,South,68.33
40,26.91,9,North,133.02
9,66.54,4,North,125.86
40,91.38,3,North,136.07
38,68.76,1,North,133.23
6,41.66,6,East,100.85
41,39.74,6,East,108.59
54,61.56,3,West,114.39
52,51.35,5,South,117.44
2,65.18,5,East,114.15
15,69.46,6,North,117.41
15,84.5,6,South,138.69
28,34.71,4,East,91.02
9,59.66,4,North,109.91
52,47.21,2,West,87.66
47,52.49,3,East,91.48
49,77.15,2,South,122.11
12,80.58,5,West,115.79
1,95.52,4,East,134.26
55,64.73,1,South,75.74
18,52.25,5,West,99.0
40,49.35,6,South,85.66
55,27.28,6,West,100.75
3,93.31,3,North,132.33
1,48.0,6,South,86.13
1,66.84,6,South,112.85
10,71.64,3,North,114.29
4,33.18,4,East,58.14
50,37.74,7,East,107.57
37,101.37,3,North,147.78
59,61.32,6,West,105.24
49,43.28,4,East,89.76
58,51.91,4,West,91.34
15,84.31,5,East,144.37
18,79.34,6,North,159.47
51,30.37,6,East,103.46
15,104.97,4,North,171.62
4,80.36,3,North,137.69
41,51.37,8,East,158.51
49,33.9,6,South,83.59
59,83.23,5,East,148.88
56,66.06,3,West,111.09
8,30.47,4,North,87.07
47,49.76,7,East,114.21
51,190.66,8,South,258.75
42,54.96,6,North,151.92
50,40.58,4,South,108.86
51,36.47,4,South,104.17
27,110.92,2,North,157.64
3,76.64,8,East,106.66
28,95.87,8,East,169.47
13,60.3,9,South,122.42
7,90.16,7,East,171.5
8,38.89,6,South,89.12
42,58.27,8,West,121.56
31,61.24,2,East,102.55
33,94.91,4,South,145.72
45,62.02,3,South,102.77
33,42.51,5,North,112.62
38,56.02,5,South,122.69
6,27.92,3,North,53.13
52,21.58,2,South,69.02
27,76.14,5,East,127.95
10,47.0,5,South,104.27
49,49.18,7,North,129.55
45,76.13,6,East,130.71
4,95.47,3,North,135.34
12,67.61,3,West,86.62
1,118.06,3,South,152.65
17,66.76,7,South,130.28
6,61.61,5,South,88.18
43,60.11,6,East,116.87
32,32.65,7,North,114.57
59,80.03,4,South,123.78
45,20.53,6,South,86.58
37,43.19,3,East,74.25
31,55.1,5,North,146.51
4,39.81,3,North,76.17
5,45.57,4,North,84.49
37,113.95,4,North,158.29
1,84.91,4,West,94.16
3,41.5,5,South,89.16
14,45.25,4,East,85.51
54,32.76,7,South,83.37
28,72.38,7,South,130.47
43,49.41,3,South,95.31
25,24.86,5,West,85.49
11,56.84,4,West,73.14
23,65.08,6,East,99.15
6,80.26,5,South,103.15
47,53.02,8,West,143.36
12,47.04,6,East,75.25
23,120.84,7,North,180.47
59,54.74,3,West,93.94
36,72.81,6,North,174.34
28,44.0,3,North,96.23
33,71.95,6,East,138.76
48,30.5,2,South,83.84
16,45.38,4,North,90.61
39,33.67,9,North,148.53
53,42.86,6,South,92.72
35,90.03,6,North,169.86
27,42.74,5,East,134.24
9,72.77,6,North,125.7
15,100.17,4,East,140.01
57,54.0,2,South,84.53
33,81.25,3,North,133.97
19,67.52,4,West,99.44
26,57.2,6,West,120.24
35,73.71,8,North,159.85
33,113.97,5,South,165.8
42,42.31,6,East,107.3
16,37.2,8,East,108.3
39,36.34,4,East,92.08
27,81.27,5,North,147.85
57,85.78,4,East,131.34
10,44.04,7,South,108.48
9,23.23,4,South,60.12
28,41.68,3,South,91.34
31,67.98,5,South,125.04
42,53.16,4,North,135.35
25,58.68,6,North,118.73
55,44.29,5,North,114.76
29,81.91,7,West,144.78
8,62.63,5,South,112.34
8,69.03,6,North,124.46
59,58.18,6,North,146.88
9,67.34,5,West,79.06
57,65.59,5,West,114.92
17,37.67,5,East,112.03
6,63.38,4,West,90.75
19,74.93,5,North,132.7
37,86.67,5,South,149.72
26,64.49,4,North,124.59
48,37.11,8,South,92.34
37,39.47,2,South,84.53
25,45.88,3,East,83.76
39,58.9,4,East,119.62
59,51.99,2,West,93.88
25,34.83,4,East,105.39
10,34.75,5,North,100.82
25,23.58,6,South,95.49
51,15.68,3,North,74.74
14,51.79,2,East,98.67
57,138.12,8,North,229.4
36,112.02,3,West,154.98
37,36.92,4,North,111.51
20,57.97,4,South,93.0
56,30.39,5,East,107.39
3,32.3,5,East,85.28
18,33.82,5,South,52.25
26,49.89,3,West,104.19
29,50.76,3,East,96.2
29,60.41,3,North,119.63
9,71.19,4,South,102.33
14,47.72,4,East,102.59
6,55.39,7,East,116.06
35,35.25,7,North,116.2
22,31.89,4,North,73.9
34,29.98,4,South,100.79
36,70.79,5,South,120.53
43,47.7,6,South,94.93
33,25.83,6,South,120.42
39,53.24,4,South,115.12
36,33.13,3,East,75.86
40,106.08,6,North,159.21
37,43.31,3,South,85.36
19,71.71,7,East,153.71
15,84.4,6,East,123.62
48,37.26,4,North,99.19
21,56.28,5,South,123.35
33,68.13,3,West,80.37
12,57.18,7,South,100.44
26,63.08,4,North,121.73
